"Feature","NIT_1","NIT_2","NIT_3","CTL_1","CTL_2","CTL_3"
"MARCO",3465,3209,2175,1031,836,523
"MARK1",43,25,36,10,26,19
"MARK2",201,199,233,179,217,114
"MARK3",684,682,624,859,757,613
"MARK4",185,181,163,204,182,122
"MARS",1059,987,907,1255,954,888
"MARVELD1",147,106,127,250,1487,589
"MARVELD2",88,102,103,87,92,69
"MARVELD3",23,11,22,22,18,11
"MASP1",2342,2227,2690,4206,3376,3013
"MASP2",2032,2236,2193,2893,2822,2261
"MAST2",428,420,429,446,396,310
"MAST3",286,170,261,262,188,160
"MASTL",67,50,66,7,11,5
"MAT1A",23234,22738,23110,29094,22708,32110
"MAT2A",196,179,196,124,150,81
"MAT2B",365,368,291,354,323,323
"MATK",38,27,30,13,17,8
"MATN4",6,2,4,1,0,1
"MATR3",218,223,225,279,217,160
"MAU2",428,338,389,418,433,330
"MAVS",238,202,219,397,432,338
"MAX",75,67,63,73,70,51
"MAZ",281,218,250,269,276,173
"MB",1,0,0,0,0,8
"MB21D2",215,225,230,373,239,274
"MBD1",283,157,220,153,138,124
"MBD2",638,575,562,390,407,334
"MBD3",351,294,326,262,245,237
"MBD6",478,449,484,539,695,452
"MBIP",46,43,34,31,30,33
"MBL1",1787,1978,1844,2588,2708,2221
"MBL2",1143,1242,1173,2497,2200,1218
"MBLAC1",39,50,52,47,23,33
"MBLAC2",25,30,21,68,47,40
"MBNL1",151,181,226,222,171,130
"MBNL2",1117,1105,1077,1366,926,982
"MBNL3",19,18,17,38,13,18
"MBOAT1",123,89,104,50,56,45
"MBOAT2",7,3,5,1,1,0
"MBP",104,114,79,84,59,44
"MBRL",778,788,781,997,873,683
"MBTPS1",872,796,887,1122,1075,793
"MBTPS2",77,57,71,57,67,47
"MCAM",321,284,305,100,140,81
"MCART1",27,26,23,30,27,22
"MCAT",142,163,188,222,202,196
"MCC",62,75,90,110,164,175
"MCCC1",346,363,337,565,438,461
"MCCC2",519,608,591,1149,944,829
"MCEE",181,243,182,343,319,216
"MCF2L",63,52,64,58,83,67
"MCFD2",2291,2209,2195,3377,3028,2425
"MCL1",1434,1279,1154,902,973,723
"MCM10",227,170,198,129,58,62
"MCM2",294,218,311,70,111,60
"MCM3",210,124,211,20,31,14
"MCM3AP",408,371,397,529,439,400
"MCM4",198,180,257,74,85,52
"MCM5",201,164,239,18,25,9
"MCM6",254,237,359,44,71,26
"MCM7",358,338,421,166,148,136
"MCM8",33,32,36,11,9,9
"MCOLN1",363,329,389,525,462,378
"MCOLN2",21,35,17,7,7,9
"MCOLN3",13,11,2,2,3,0
"MCPT1",1,5,8,0,0,0
"MCPT10",43,33,34,5,15,7
"MCPT2",118,99,119,16,14,18
"MCPT8",7,6,15,3,1,2
"MCPT8L2",11,8,20,5,2,2
"MCPT9",34,19,20,13,6,5
"MCRS1",227,181,191,139,164,101
"MCTP2",33,34,33,57,23,29
"MCTS1",163,176,149,176,195,156
"MCU",139,126,143,155,163,152
"MDC1",122,112,175,125,84,56
"MDFI",9,2,9,1,7,3
"MDFIC",260,255,246,376,337,163
"MDGA1",4,1,2,2,5,0
"MDH1",2052,2294,2283,2442,2501,2413
"MDH1B",4,3,0,0,3,4
"MDH2",2194,2314,2118,2418,2139,1827
"MDK",7,6,6,13,9,4
"MDM1",103,77,113,74,70,26
"MDM2",624,553,582,246,255,183
"MDM4",173,225,251,213,188,123
"MDP1",94,108,72,135,107,102
"ME1",948,846,899,791,1328,781
"ME2",394,263,330,88,80,36
"ME3",17,39,21,96,34,62
"MEA1",584,566,577,663,637,469
"MEAF6",74,71,77,66,72,65
"MECOM",16,17,23,19,29,25
"MECP2",60,56,68,73,69,26
"MECR",148,186,149,262,204,200
"MED1",371,300,393,372,345,262
"MED10",140,140,136,122,109,83
"MED11",24,36,34,23,29,13
"MED12",444,341,417,468,374,316
"MED12L",6,17,8,3,3,7
"MED13",359,464,449,705,640,342
"MED14",251,256,249,331,242,217
"MED15",562,553,547,505,509,392
"MED16",377,389,354,410,452,376
"MED17",96,115,107,102,83,65
"MED19",226,209,181,275,198,187
"MED20",35,31,27,52,54,46
"MED21",28,25,25,35,30,13
"MED22",83,68,67,134,93,67
"MED24",295,322,301,364,319,235
"MED25",389,402,393,470,440,350
"MED26",62,52,57,57,71,44
"MED27",62,65,66,54,46,61
"MED28",280,313,264,358,334,193
"MED29",140,124,124,114,115,110
"MED30",39,32,42,40,34,33
"MED31",53,65,66,74,73,63
"MED4",133,110,125,205,183,147
"MED6",110,98,105,125,110,91
"MED8",27,36,20,39,41,34
"MEF2B",2,0,0,2,1,3
"MEF2BNB",145,124,121,96,140,77
"MEF2D",245,230,239,245,238,123
"MEFV",70,56,40,9,6,6
"MEGF6",45,30,40,14,46,22
"MEGF9",313,399,481,593,352,297
"MEIS1",48,57,33,76,100,81
"MEIS2",30,27,44,62,67,53
"MEIS3",38,18,25,11,12,12
"MELK",49,31,58,11,10,3
"MEMO1",326,269,301,260,269,225
"MEN1",272,279,210,461,376,303
"MEOX1",10,2,2,0,0,2
"MEOX2",7,17,11,33,117,31
"MEPCE",265,220,276,259,306,203
"MERTK",357,303,382,170,121,166
"MESDC1",190,202,194,106,101,64
"MESDC2",490,409,470,356,325,275
"MESP2",3,4,3,1,0,0
"MET",352,563,428,1019,708,694
"METAP1",412,396,367,563,429,411
"METAP1D",41,56,52,52,58,37
"METAP2",269,231,287,230,214,176
"METRN",25,20,11,9,20,16
"METRNL",84,54,46,34,41,24
"METTL10",37,40,25,28,25,18
"METTL11A",135,147,131,156,138,107
"METTL13",159,175,198,218,181,214
"METTL14",200,155,184,199,163,148
"METTL18",41,44,28,68,66,71
"METTL19",85,86,90,126,126,111
"METTL2",87,129,106,128,97,78
"METTL20",53,35,50,75,64,39
"METTL23",77,59,61,72,89,58
"METTL3",175,133,159,227,159,134
"METTL4",12,21,23,37,33,19
"METTL5",109,98,70,96,114,84
"METTL6",130,118,127,146,142,103
"METTL7A",618,587,351,1201,738,506
"METTL7B",3169,3535,2923,3856,5122,2510
"METTL9",511,524,557,591,566,453
"MEX3B",39,46,46,35,41,28
"MEX3C",238,211,191,143,121,114
"MFAP1A",194,177,204,229,195,145
"MFAP2",20,4,7,4,6,5
"MFAP3",151,132,145,191,154,119
"MFAP3L",15,22,27,57,57,34
"MFAP4",222,85,155,107,156,95
"MFF",205,186,180,189,152,151
"MFGE8",1550,1187,1573,714,1053,511
"MFHAS1",30,37,58,31,47,32
"MFN1",586,574,516,658,480,440
"MFN2",996,896,902,1270,1267,941
"MFNG",33,26,22,15,23,5
"MFRP",3,0,2,0,1,2
"MFSD1",742,690,774,662,570,405
"MFSD10",71,60,81,28,28,26
"MFSD2A",2135,1911,1729,1689,1012,460
"MFSD3",94,112,134,166,180,189
"MFSD5",234,222,224,253,232,171
"MFSD6",427,523,581,1057,775,801
"MFSD7",20,22,24,5,13,4
"MFSD8",30,38,28,53,49,32
"MFSD9",134,110,102,124,127,105
"MGAT1",1026,1082,1001,1485,1325,1166
"MGAT2",830,833,853,1155,951,975
"MGAT3",27,7,16,7,4,9
"MGAT4A",122,74,88,25,18,16
"MGAT4B",1823,1713,1398,1974,2253,2036
"MGAT5",40,46,48,25,31,16
"MGEA5",392,416,434,457,410,256
"MGLL",330,389,368,314,409,279
"MGMT",398,365,386,152,157,82
"MGP",611,168,252,140,159,114
"MGRN1",415,459,360,386,352,239
